symbol,spam,ham,spam_perc
please,13,2,0.8666666666666667
boost,2,0,1.0
phone,13,0,1.0
curling,0,1,0.0
videogame,0,1,0.0
hits,1,1,0.5
bigtime,0,1,0.0
congratulations,5,0,1.0
signups,2,0,1.0
satalk,1,15,0.0625
ot,0,3,0.0
dns,0,2,0.0
mx,0,1,0.0
clarification,0,1,0.0
un,1,0,1.0
mois,1,0,1.0
de,1,0,1.0
maintenance,1,0,1.0
informatique,1,0,1.0
offert,1,0,1.0
insert,0,1,0.0
signature,0,1,0.0
whats,2,0,1.0
colonize,1,0,1.0
tired,2,0,1.0
high,6,1,0.8571428571428571
rate,7,1,0.875
refinance,4,0,1.0
today,9,0,1.0
sidekicks,0,1,0.0
browser,0,1,0.0
blows,0,1,0.0
rpm,0,3,0.0
dependencies,0,2,0.0
save,15,1,0.9375
money,28,1,0.9655172413793104
szfdk,1,0,1.0
money32286,1,0,1.0
scoop,4,0,1.0
ceviri,1,0,1.0
yazilimlari,1,0,1.0
warranty,1,0,1.0
even,3,0,1.0
older,1,0,1.0
cars,2,0,1.0
nhaxn,1,0,1.0
thought,1,0,1.0
important,3,1,0.75
ymf,1,0,1.0
custom,8,0,1.0
software,12,2,0.8571428571428571
development,3,0,1.0
services,4,0,1.0
available,5,3,0.625
right,8,0,1.0
dylsexics,0,3,0.0
wrold,0,3,0.0
untie,0,3,0.0
product,5,0,1.0
want,15,0,1.0
ilugsocial,10,2,0.8333333333333334
register,2,0,1.0
domain,3,0,1.0
extensions,3,0,1.0
join,2,0,1.0
fight,1,0,1.0
quality,2,0,1.0
annually,1,0,1.0
secured,1,0,1.0
slim,4,0,1.0
factors,1,0,1.0
totally,1,0,1.0
approach,1,2,0.3333333333333333
weight,2,0,1.0
loss,2,0,1.0
complete,3,1,0.75
pharmacy,2,0,1.0
same,1,0,1.0
shipping,2,1,0.6666666666666666
youre,1,0,1.0
approved,4,0,1.0
weird,0,1,0.0
museums,0,1,0.0
nyc,0,1,0.0
webmaster,1,0,1.0
moving,1,0,1.0
guaranteed,11,0,1.0
lose,9,1,0.9
lbs,4,0,1.0
days,8,0,1.0
patch,1,1,0.5
prescriptions,1,0,1.0
without,4,0,1.0
doctors,3,0,1.0
appointment,2,0,1.0
sites,6,0,1.0
site,5,0,1.0
redesigns,1,0,1.0
firstits,1,0,1.0
turndont,1,0,1.0
miss,1,1,0.5
nox,1,0,1.0
razorusers,0,10,0.0
stripping,0,1,0.0
spamassassin,0,2,0.0
mp3,1,0,1.0
ve,2,0,1.0
klipler,1,0,1.0
stay,2,0,1.0
harvest,3,0,1.0
lots,3,0,1.0
target,1,0,1.0
email,18,4,0.8181818181818182
addresses,5,0,1.0
quickly,3,0,1.0
professional,1,0,1.0
teeth,1,1,0.5
whitening,1,0,1.0
ovcnd,1,0,1.0
pages,1,0,1.0
load,1,0,1.0
300%,1,0,1.0
faster,1,0,1.0
cable,1,0,1.0
dsl,1,0,1.0
50%,2,0,1.0
laser,3,0,1.0
printer,3,0,1.0
copier,1,0,1.0
fax,2,0,1.0
cartridges,13,0,1.0
hansons,0,2,0.0
sept,0,2,0.0
message,1,4,0.2
national,1,2,0.3333333333333333
review,1,5,0.16666666666666666
cctld,1,0,1.0
get,31,3,0.9117647058823529
yyyyasonus,1,0,1.0
before,2,1,0.6666666666666666
someone,1,0,1.0
else,1,0,1.0
does,2,0,1.0
pay,8,0,1.0
weekly_guaranteed27147,1,0,1.0
pick,1,0,1.0
tba,1,0,1.0
doctor,2,0,1.0
walks,1,0,1.0
walk,1,0,1.0
diabetes,1,0,1.0
minute,5,0,1.0
porn,6,0,1.0
movie,4,0,1.0
remove,0,1,0.0
irr,0,3,0.0
3rd,0,1,0.0
annual,0,1,0.0
consult,0,1,0.0
hyperion,0,1,0.0
identity,0,1,0.0
forum,1,1,0.5
peace,2,0,1.0
harmony,1,0,1.0
tranquility,1,0,1.0
happiness,1,0,1.0
give,2,0,1.0
yet,2,0,1.0
dlra,1,0,1.0
teen,3,0,1.0
lesbian,3,0,1.0
website,6,0,1.0
flight,2,0,1.0
safety,2,0,1.0
upon,2,0,1.0
us,10,3,0.7692307692307693
dcmsdev,1,0,1.0
inheritance,1,0,1.0
hgh,9,0,1.0
years,9,1,0.9
younger,3,0,1.0
weeks,6,0,1.0
hmuprzd,2,0,1.0
sending,1,0,1.0
emails,1,0,1.0
ximian,0,2,0.0
updates,0,2,0.0
hyperlink,0,1,0.0
handling,0,1,0.0
gaim,0,1,0.0
allows,0,1,0.0
arbitrary,0,1,0.0
code,0,3,0.0
executed,0,1,0.0
urgent,10,0,1.0
assistance,12,0,1.0
best,17,1,0.9444444444444444
next,5,0,1.0
car,2,0,1.0
check,4,0,1.0
cannot,1,0,1.0
pill,2,0,1.0
lgw,1,0,1.0
habeus,0,2,0.0
why,5,2,0.7142857142857143
stop,4,0,1.0
mlm,3,0,1.0
insanity,3,0,1.0
production,3,0,1.0
miniplants,2,0,1.0
mobile,2,1,0.6666666666666666
containers,2,0,1.0
coinvestment,2,0,1.0
program,4,0,1.0
recommended,0,2,0.0
viewing,0,2,0.0
malicious,0,1,0.0
hidden,0,1,0.0
coupon,1,0,1.0
80%,1,0,1.0
service,1,0,1.0
2968zuyw7202ztvw049920,1,0,1.0
play,3,0,1.0
hilarious,2,0,1.0
prank,2,0,1.0
patent,0,1,0.0
tmdalike,0,1,0.0
system,6,4,0.6
reply,2,0,1.0
blowout,1,0,1.0
qhzhc,1,0,1.0
year,10,0,1.0
old,2,0,1.0
bread,1,0,1.0
recipe,1,0,1.0
actually,1,2,0.3333333333333333
helps,1,0,1.0
21st,1,0,1.0
century,1,0,1.0
specialists,1,0,1.0
jrgbm,1,0,1.0
linking,0,1,0.0
change,1,1,0.5
multiply,1,0,1.0
customer,1,0,1.0
base,1,0,1.0
www,1,0,1.0
form,1,0,1.0
submission,1,0,1.0
avg,1,0,1.0
being,3,1,0.75
few,2,0,1.0
pounds,3,0,1.0
lighterolibykn,2,0,1.0
perl,0,6,0.0
stories,0,3,0.0
msnbc,5,0,1.0
hit,7,0,1.0
low,17,2,0.8947368421052632
475%,5,0,1.0
ink,4,0,1.0
prices,6,0,1.0
iiutaintorg,1,0,1.0
hello,7,0,1.0
bevstar10,1,0,1.0
insurance,18,0,1.0
hassle,1,0,1.0
jhiwns,1,0,1.0
protect,4,0,1.0
information,13,0,1.0
testing,2,4,0.3333333333333333
delete,2,0,1.0
toners,8,0,1.0
inkjet,10,0,1.0
less,11,0,1.0
t,1,0,1.0
friend,4,0,1.0
credit,16,0,1.0
repairapproved,1,0,1.0
bureaus,1,0,1.0
columbo,1,0,1.0
getting,1,1,0.5
case,3,4,0.42857142857142855
refinancing,1,0,1.0
second,3,0,1.0
improvement,1,0,1.0
secondhand,0,1,0.0
blamed,0,1,0.0
bedbugs,0,1,0.0
comeback,0,1,0.0
nasty,0,1,0.0
party,0,1,0.0
warning,1,1,0.5
tories,0,1,0.0
marketing,10,0,1.0
communications;,2,0,1.0
100kyear,2,0,1.0
uleio,2,0,1.0
newscom,0,5,0.0
investor,1,3,0.25
techs,0,3,0.0
slump,0,1,0.0
intel,0,2,0.0
gecko,0,3,0.0
adhesion,0,3,0.0
finally,1,3,0.25
sussed,0,3,0.0
benjamin,0,1,0.0
wallace,0,1,0.0
higgins,0,1,0.0
replica,2,0,1.0
goods,4,0,1.0
apt,0,5,0.0
repos,0,1,0.0
webcam,3,0,1.0
babe,1,0,1.0
equitable,0,1,0.0
missold,0,1,0.0
policies,1,1,0.5
fwd,3,1,0.75
telecom,1,0,1.0
consolidation,1,0,1.0
begins,2,0,1.0
accelerate,1,0,1.0
qsv,1,0,1.0
usa,0,2,0.0
six,0,1,0.0
bondbarbie,0,1,0.0
request,4,0,1.0
needed,8,0,1.0
bad,4,1,0.8
breakthrough,4,0,1.0
cash,7,0,1.0
river,0,1,0.0
ford,1,0,1.0
motor,2,0,1.0
salutes,1,0,1.0
armed,1,0,1.0
disappearing,0,2,0.0
alliance,0,2,0.0
discreet,1,0,1.0
penis,2,0,1.0
enlargement,3,0,1.0
greetings,2,0,1.0
calif,2,0,1.0
partnership,3,0,1.0
6801wbrq4940mjbj46319,2,0,1.0
anyone,4,0,1.0
anywhere,2,0,1.0
anything,2,0,1.0
me,10,5,0.6666666666666666
bug,0,5,0.0
add,2,1,0.6666666666666666
bayesian,0,1,0.0
spam,2,11,0.15384615384615385
filtering,0,1,0.0
funds,4,0,1.0
investment,8,0,1.0
handheld,2,0,1.0
organizer,2,0,1.0
reps,10,0,1.0
hi,4,0,1.0
joseph,1,0,1.0
personal,4,0,1.0
p,1,0,1.0
gxlqg,1,0,1.0
city,0,3,0.0
planning,0,1,0.0
funnies,0,1,0.0
shipment,1,0,1.0
status,2,0,1.0
search,4,0,1.0
engine,3,0,1.0
placement,3,0,1.0
last,3,1,0.75
spent,2,0,1.0
u,1,0,1.0
100000s,2,0,1.0
well,2,0,1.0
wju,1,0,1.0
905%,1,0,1.0
@,1,0,1.0
8%,1,0,1.0
only,7,0,1.0
qkdjtqsscr,1,0,1.0
returned,0,1,0.0
mail,1,3,0.25
sacvs,0,2,0.0
cvs,0,6,0.0
spamassassinmasses,0,2,0.0
craigevolvecaltivecnone11,0,1,0.0
herbal,5,0,1.0
trial,7,1,0.875
s,1,0,1.0
birthday,0,2,0.0
congradulate,0,1,0.0
boy,0,1,0.0
putin,0,1,0.0
link,1,1,0.5
send,3,1,0.75
wishes,0,1,0.0
via,2,1,0.6666666666666666
pills,1,0,1.0
100%,2,0,1.0
guarantee,1,0,1.0
just,4,2,0.6666666666666666
put,3,0,1.0
4u,1,0,1.0
hunnie,1,0,1.0
increase,3,0,1.0
sexual,2,0,1.0
energy,2,1,0.6666666666666666
reduce,2,0,1.0
body,1,1,0.5
fat16548,1,0,1.0
name,4,2,0.6666666666666666
heres,2,1,0.6666666666666666
chance,4,0,1.0
elvis,0,1,0.0
costello,0,1,0.0
cd,2,2,0.5
trojan,0,1,0.0
horse,0,1,0.0
drm,0,1,0.0
malware,0,1,0.0
colonial,0,1,0.0
script,0,1,0.0
again,3,1,0.75
paysite,2,0,1.0
neat,0,1,0.0
tricks,0,1,0.0
standard,0,1,0.0
issue,0,1,0.0
august,0,1,0.0
linuxannounce,0,1,0.0
digest,0,1,0.0
kind,4,0,1.0
maker,4,0,1.0
try,5,0,1.0
turbo,1,0,1.0
drive,1,1,0.5
kvpb,1,0,1.0
emarket,1,0,1.0
advertising,1,0,1.0
boost13474,1,0,1.0
avast,0,1,0.0
matey,0,1,0.0
behind,1,0,1.0
every,1,0,1.0
elite,2,0,1.0
producer,1,0,1.0
let,8,0,1.0
yourefinance,1,0,1.0
2386bjse0561wvnn9l17,1,0,1.0
hottest,2,1,0.6666666666666666
america,3,0,1.0
openeveryone,1,0,1.0
welcome,2,0,1.0
friendinstantly,2,0,1.0
copy,4,0,1.0
dvd,5,1,0.8333333333333334
playstation,3,0,1.0
game,3,1,0.75
dtqawn,1,0,1.0
pensioners,0,1,0.0
housebuyers,0,1,0.0
suffer,0,1,0.0
safely,1,0,1.0
securely,1,0,1.0
hnwgyi,1,0,1.0
hey,3,0,1.0
waiting,4,1,0.8
dollar,1,0,1.0
excuse,0,1,0.0
protection,5,0,1.0
selling,1,7,0.125
wedded,0,6,0.0
bliss,0,6,0.0
ouch,0,6,0.0
datapower,0,2,0.0
announces,0,2,0.0
xmlinsilicon,0,2,0.0
postal,1,0,1.0
anytime,2,0,1.0
cry,2,0,1.0
merchant,1,0,1.0
account,7,0,1.0
xaxft,1,0,1.0
rule,0,2,0.0
broken,0,1,0.0
corrupt_msgid,0,1,0.0
renewal,3,0,1.0
china,2,0,1.0
motorcycle,1,0,1.0
hosting,2,0,1.0
hip,0,2,0.0
shooting,0,1,0.0
interview,0,1,0.0
tanaka,0,1,0.0
mplayer,0,3,0.0
working,2,2,0.5
drugstore,1,0,1.0
6537dw6,1,0,1.0
debianstyle,0,1,0.0
taskpackages,0,1,0.0
rh80,0,1,0.0
null,0,2,0.0
rh8,0,5,0.0
upgrade,0,1,0.0
boycotting,0,1,0.0
trader,1,0,1.0
tags,0,1,0.0
reveal,0,1,0.0
frozen,0,1,0.0
food,0,1,0.0
rotten,0,1,0.0
family,2,0,1.0
health,3,0,1.0
care,1,0,1.0
49month,1,0,1.0
everyone,1,0,1.0
qualifies,1,0,1.0
engineers,0,2,0.0
view,0,2,0.0
venture,0,2,0.0
capitalists,0,2,0.0
issues,2,0,1.0
ol,1,0,1.0
take,4,0,1.0
level,2,0,1.0
windows,1,2,0.3333333333333333
tips,1,0,1.0
figures,2,0,1.0
cost,10,0,1.0
blueprint,0,1,0.0
smallpox,0,1,0.0
massvaccination,0,1,0.0
fw,20,1,0.9523809523809523
little,2,0,1.0
spice,1,0,1.0
fehk,1,0,1.0
newbie,0,1,0.0
compile,0,1,0.0
seen,3,0,1.0
tv,3,1,0.75
minimize,2,0,1.0
expenses,2,0,1.0
websites,3,0,1.0
1709d@5,1,0,1.0
honest,1,0,1.0
oriented,1,0,1.0
based,3,0,1.0
residual,1,0,1.0
income,3,0,1.0
involved,1,0,1.0
anvx,1,0,1.0
freeserved,0,1,0.0
poker,3,0,1.0
againts,2,0,1.0
real,8,0,1.0
players,2,0,1.0
spambayes,0,11,0.0
test,0,3,0.0
sets,0,1,0.0
re3,0,3,0.0
perfect,0,1,0.0
mix,0,1,0.0
zdnets,0,1,0.0
stuff,0,1,0.0
owe,1,0,1.0
ovn610,1,0,1.0
improved,1,0,1.0
jbtfcz,1,0,1.0
government,4,1,0.8
grants,5,0,1.0
triple,2,1,0.6666666666666666
dialup,0,1,0.0
surfing,0,1,0.0
speeds,0,1,0.0
anchordesk,0,1,0.0
isa,1,0,1.0
article,1,0,1.0
embedded,1,0,1.0
realtime,1,0,1.0
linux,1,4,0.2
automation,1,0,1.0
applications,1,2,0.3333333333333333
gji,1,0,1.0
alqaedas,0,4,0.0
fantasy,0,4,0.0
ideology,0,4,0.0
policy,5,3,0.625
checking,0,1,0.0
cronjobs,0,1,0.0
ran,0,1,0.0
keep,3,0,1.0
under,1,0,1.0
wraps,1,0,1.0
works,3,0,1.0
treat,2,0,1.0
where,1,1,0.5
fortune,6,0,1.0
hiring,7,0,1.0
kindly,2,0,1.0
washington,2,0,1.0
wire,2,0,1.0
klez,0,1,0.0
virus,5,1,0.8333333333333334
wont,1,1,0.5
die,0,1,0.0
homeylwlnman,1,0,1.0
biz,3,0,1.0
com,2,0,1.0
lenders,4,0,1.0
compete,1,0,1.0
ivx,1,0,1.0
ringing,0,1,0.0
bell,0,1,0.0
debt,3,0,1.0
line,1,0,1.0
entertainment,2,0,1.0
companies,3,0,1.0
survey,3,0,1.0
win,5,0,1.0
dvr,2,0,1.0
piece,2,0,1.0
history,2,0,1.0
familys,3,0,1.0
future,4,0,1.0
70%,3,0,1.0
natural,2,0,1.0
stimulant,1,0,1.0
looking,5,0,1.0
apple,0,1,0.0
saucedagain,0,1,0.0
love,2,0,1.0
vaaaig,1,0,1.0
consultation,1,0,1.0
fee,2,0,1.0
mbnq,1,0,1.0
logos,1,0,1.0
tones,2,0,1.0
outstanding,2,0,1.0
opportunities,2,0,1.0
premier,3,0,1.0
producers,2,0,1.0
pythondev,0,1,0.0
started,0,1,0.0
gbayes,0,1,0.0
lender,2,0,1.0
afpe,2,0,1.0
advantage,2,0,1.0
offer,1,0,1.0
prepare,1,0,1.0
gas,2,0,1.0
driving,1,0,1.0
summer,7,0,1.0
property,1,1,0.5
spain,1,0,1.0
resume,1,0,1.0
buyers,1,0,1.0
sellers,1,0,1.0
agents,1,0,1.0
loans,2,0,1.0
need,14,0,1.0
invest,2,0,1.0
country,2,0,1.0
idea,1,0,1.0
byrdshot,1,0,1.0
ready,2,0,1.0
f,1,0,1.0
together,1,0,1.0
bigger,2,1,0.6666666666666666
notebooks,0,1,0.0
better,5,1,0.8333333333333334
holidays,2,0,1.0
coming,2,0,1.0
power,3,1,0.75
youngerfree,1,0,1.0
sample,1,0,1.0
esoy,1,0,1.0
vyw,2,0,1.0
clean,3,0,1.0
c,2,0,1.0
closed,2,0,1.0
100s,1,0,1.0
maybe,1,0,1.0
1000s,1,0,1.0
fees,2,0,1.0
click,2,0,1.0
went,1,0,1.0
exmh,0,3,0.0
&&,0,1,0.0
speed,1,1,0.5
planned,2,0,1.0
zbm,2,0,1.0
jm,2,0,1.0
private,5,0,1.0
eye,2,0,1.0
tiny,0,1,0.0
swap,0,1,0.0
nation,0,1,0.0
searches,0,1,0.0
its,2,1,0.6666666666666666
soul,0,1,0.0
shop,2,0,1.0
loan,3,0,1.0
otq,1,0,1.0
plan,2,1,0.6666666666666666
shape,1,0,1.0
investigator,1,0,1.0
user,2,0,1.0
password,2,0,1.0
zzzz@spamassassintaintorg,2,0,1.0
pviqg,2,0,1.0
computeryou,1,0,1.0
coxr,1,0,1.0
none,1,0,1.0
creditors,1,0,1.0
tracks,1,0,1.0
three,3,1,0.75
streams,3,0,1.0
reach,2,0,1.0
millions,3,0,1.0
hurry,1,0,1.0
week,2,1,0.6666666666666666
ip,0,1,0.0
fcc,0,1,0.0
nprm,0,1,0.0
broadcast,0,1,0.0
flag,0,1,0.0
contact,2,0,1.0
maps,0,1,0.0
huh,0,1,0.0
wir,1,0,1.0
suchen,1,0,1.0
erotikdarsteller,1,0,1.0
qwof,1,0,1.0
howtos,0,1,0.0
soho,0,1,0.0
headlines,0,4,0.0
market,7,0,1.0
access,2,4,0.3333333333333333
vary,1,0,1.0
interests,1,0,1.0
highest,1,0,1.0
concentration,1,0,1.0
pure,1,0,1.0
human,1,0,1.0
pheromone,1,0,1.0
ovdkspcr,1,0,1.0
pics,2,0,1.0
rh,0,2,0.0
7x,0,1,0.0
surprise,1,0,1.0
english,1,0,1.0
ygr,1,0,1.0
butt,2,0,1.0
hips,2,0,1.0
thighs,2,0,1.0
embarrass,2,0,1.0
wm,3,0,1.0
hot,2,0,1.0
buisness,1,0,1.0
re2,0,3,0.0
david,0,1,0.0
friedman,0,1,0.0
stock,2,0,1.0
rumored,1,0,1.0
fly,1,0,1.0
graphicsonly,0,1,0.0
discover,1,0,1.0
infobytel,1,0,1.0
strange,0,1,0.0
tcltk,0,1,0.0
messages,1,1,0.5
invitation,3,0,1.0
alcohol,2,0,1.0
detector,2,0,1.0
cc,1,0,1.0
prevents,1,0,1.0
diesel,1,0,1.0
fuel,1,0,1.0
gelling,1,0,1.0
3750r5,1,0,1.0
warez,3,0,1.0
cds,4,0,1.0
goodz,1,0,1.0
8simugq,1,0,1.0
att,0,1,0.0
wireless,0,1,0.0
location,0,1,0.0
tracking,0,1,0.0
ou,2,0,1.0
wei,2,0,1.0
lightingnights,2,0,1.0
lightening,2,0,1.0
ring,1,0,1.0
iraq,3,3,0.5
daily,2,0,1.0
news,10,2,0.8333333333333334
highend,1,0,1.0
introducing,1,0,1.0
powerful,1,0,1.0
antiobesity,1,0,1.0
drug,1,0,1.0
ever,2,0,1.0
whoopee,1,0,1.0
film,0,1,0.0
sequences,0,5,0.0
window,0,5,0.0
goodbye,0,5,0.0
global,1,4,0.2
warming,0,4,0.0
incredible,5,0,1.0
pictures,3,0,1.0
yr,3,0,1.0
fixed,4,0,1.0
points,1,0,1.0
ucq,1,0,1.0
already,2,0,1.0
immediately,1,0,1.0
reject,0,1,0.0
blackhole,0,1,0.0
fake,0,1,0.0
nouser,0,1,0.0
ripped,1,0,1.0
off,5,1,0.8333333333333334
things,1,0,1.0
watch,3,0,1.0
expand,1,0,1.0
skills,2,0,1.0
rss,0,3,0.0
bruce,0,1,0.0
loebrich,0,1,0.0
scraped,0,1,0.0
feeds,0,1,0.0
google,0,1,0.0
start,1,1,0.5
consulting,1,0,1.0
ntsj,1,0,1.0
financial,4,0,1.0
depend,1,0,1.0
card,5,0,1.0
extreme,1,0,1.0
colon,1,0,1.0
cleanser16704,1,0,1.0
infectious,0,1,0.0
disease,0,1,0.0
lowest,6,0,1.0
moode,1,0,1.0
6bftc,1,0,1.0
chicago,1,0,1.0
meeting,1,0,1.0
procmail,0,1,0.0
biologically,1,0,1.0
spend,1,0,1.0
mile,1,0,1.0
control,1,0,1.0
teoqknmp,1,0,1.0
focusclick,0,1,0.0
behaviours,0,1,0.0
oncxbv,1,0,1.0
accept,2,0,1.0
cards,4,0,1.0
buy,6,0,1.0
wantedfortune,2,0,1.0
comp,2,0,1.0
lockergnome,0,1,0.0
tech,0,2,0.0
specialist,0,1,0.0
concrete,0,1,0.0
geekitude,0,1,0.0
prevent,1,0,1.0
employment,1,0,1.0
monotony,1,0,1.0
yyyy,2,0,1.0
ok,1,0,1.0
memory,1,0,1.0
immediate,1,0,1.0
penile,1,0,1.0
enlarging,1,0,1.0
surgery,1,0,1.0
zzzz,3,0,1.0
making,1,0,1.0
pm,3,0,1.0
community,3,0,1.0
commentary,2,0,1.0
stepbystep,1,0,1.0
seminar,1,0,1.0
presentation,1,0,1.0
taintorg,1,0,1.0
y,1,0,1.0
huge,3,0,1.0
profits,1,0,1.0
ebay,2,0,1.0
place,1,1,0.5
ltc,3,0,1.0
declines,1,0,1.0
easy,7,1,0.875
conferencing,4,0,1.0
university,2,0,1.0
diplomas,1,0,1.0
impaired,2,0,1.0
risk,2,0,1.0
loved,2,0,1.0
ones,2,0,1.0
provided,2,0,1.0
zjgu,1,0,1.0
added,0,1,0.0
regular,0,1,0.0
zapp,3,0,1.0
term,6,0,1.0
stun,1,0,1.0
guns,1,0,1.0
time20135,1,0,1.0
musclesmoneyand,1,0,1.0
looks,1,0,1.0
helpbut,1,0,1.0
man,1,3,0.25
irbxij,1,0,1.0
competition,5,0,1.0
roster,2,0,1.0
pthreads,0,1,0.0
problem,0,5,0.0
formatting,0,1,0.0
partition,0,1,0.0
girls,1,0,1.0
vehicle,1,0,1.0
noise,1,0,1.0
hvgxs,2,0,1.0
congrats,1,0,1.0
airline,1,0,1.0
tickets,2,0,1.0
fast,3,0,1.0
acting,1,0,1.0
para,1,0,1.0
silence,0,1,0.0
amendment,0,1,0.0
freedom,2,0,1.0
deserve,2,0,1.0
rape,2,0,1.0
entrepreneurs,0,1,0.0
fat,3,0,1.0
gain,3,1,0.75
muscle,1,0,1.0
level30028,1,0,1.0
court,0,1,0.0
ira,0,1,0.0
spy,0,1,0.0
charges,0,1,0.0
prescription,3,0,1.0
source,4,0,1.0
n,1,0,1.0
worldcom,0,1,0.0
woes,0,1,0.0
lead,1,1,0.5
bankruptcy,0,1,0.0
beat,1,1,0.5
house,2,0,1.0
royal,1,0,1.0
vegas,1,0,1.0
minutes,2,0,1.0
read,4,0,1.0
say,1,0,1.0
ps,1,0,1.0
satisfy,1,0,1.0
fgtpril,1,0,1.0
you8456,1,0,1.0
alsa,0,1,0.0
almost,0,1,0.0
made,0,1,0.0
industry,2,0,1.0
hotel,1,0,1.0
show,1,0,1.0
3c509,0,1,0.0
summary,0,1,0.0
early,1,1,0.5
peter,0,1,0.0
gabriel,0,1,0.0
_,1,0,1.0
